"External migration by sex, age and citizenship 1986-2014"

"Sex";"Year";"Age";"Total Net immigration"
"Total";"1987";"98 years";-
"Total";"1987";"99 years";-
"Total";"1987";"100 years";-
"Total";"1987";"101 years";-
"Total";"1987";"102 years";-
"Total";"1987";"103 years";-
"Total";"1987";"104 years";-
"Total";"1987";"105 years";-
"Total";"1987";"106 years";-
"Total";"1987";"107 years";-
"Total";"1987";"108 years";-
"Total";"1987";"109 years";-
"Total";"1987";"110 years";-
"Total";"1988";"1 year";5
"Total";"1988";"2 years";2
"Total";"1988";"3 years";10
"Total";"1988";"4 years";3
"Total";"1988";"5 years";22
"Total";"1988";"6 years";18
"Total";"1988";"7 years";14
"Total";"1988";"8 years";21
"Total";"1988";"9 years";30
"Total";"1988";"10 years";7
"Total";"1988";"11 years";20
"Total";"1988";"12 years";17
"Total";"1988";"13 years";11
"Total";"1988";"14 years";6
"Total";"1988";"15 years";24
"Total";"1988";"16 years";38
"Total";"1988";"17 years";49
"Total";"1988";"18 years";57
"Total";"1988";"19 years";95
"Total";"1988";"20 years";46
"Total";"1988";"21 years";24
"Total";"1988";"22 years";65
"Total";"1988";"23 years";43
"Total";"1988";"24 years";54
"Total";"1988";"25 years";58
"Total";"1988";"26 years";39
"Total";"1988";"27 years";56
"Total";"1988";"28 years";58
"Total";"1988";"29 years";63
"Total";"1988";"30 years";29
"Total";"1988";"31 years";39
"Total";"1988";"32 years";35
"Total";"1988";"33 years";28
"Total";"1988";"34 years";31
"Total";"1988";"35 years";14
"Total";"1988";"36 years";19
"Total";"1988";"37 years";19
"Total";"1988";"38 years";1
"Total";"1988";"39 years";12
"Total";"1988";"40 years";8
"Total";"1988";"41 years";20
"Total";"1988";"42 years";9
"Total";"1988";"43 years";16
"Total";"1988";"44 years";13
"Total";"1988";"45 years";17
"Total";"1988";"46 years";4
"Total";"1988";"47 years";8
"Total";"1988";"48 years";16
"Total";"1988";"49 years";7
"Total";"1988";"50 years";7
"Total";"1988";"51 years";9
"Total";"1988";"52 years";0
"Total";"1988";"53 years";5
"Total";"1988";"54 years";3
"Total";"1988";"55 years";5
"Total";"1988";"56 years";6
"Total";"1988";"57 years";1
"Total";"1988";"58 years";1
"Total";"1988";"59 years";3
"Total";"1988";"60 years";7
"Total";"1988";"61 years";1
"Total";"1988";"62 years";0
"Total";"1988";"63 years";4
"Total";"1988";"64 years";1
"Total";"1988";"65 years";1
"Total";"1988";"66 years";2
"Total";"1988";"67 years";5
"Total";"1988";"68 years";3
"Total";"1988";"69 years";4
"Total";"1988";"70 years";2
"Total";"1988";"71 years";7
"Total";"1988";"72 years";0
"Total";"1988";"73 years";3
"Total";"1988";"74 years";2
"Total";"1988";"75 years";3
"Total";"1988";"76 years";2
"Total";"1988";"77 years";4
"Total";"1988";"78 years";2
"Total";"1988";"79 years";1
"Total";"1988";"80 years";2
"Total";"1988";"81 years";2
"Total";"1988";"82 years";-1
"Total";"1988";"83 years";1
"Total";"1988";"84 years";1
"Total";"1988";"85 years";2
"Total";"1988";"86 years";-
"Total";"1988";"87 years";2
"Total";"1988";"88 years";1
"Total";"1988";"89 years";1
"Total";"1988";"90 years";1
"Total";"1988";"91 years";1
"Total";"1988";"92 years";2
"Total";"1988";"93 years";2
"Total";"1988";"94 years";2
"Total";"1988";"95 years";-
"Total";"1988";"96 years";1
"Total";"1988";"97 years";-
"Total";"1988";"98 years";-
"Total";"1988";"99 years";-
"Total";"1988";"100 years";-
"Total";"1988";"101 years";1
"Total";"1988";"102 years";-
"Total";"1988";"103 years";1
"Total";"1988";"104 years";-
"Total";"1988";"105 years";-
"Total";"1988";"106 years";-
"Total";"1988";"107 years";-
"Total";"1988";"108 years";-
"Total";"1988";"109 years";-
"Total";"1988";"110 years";-
"Total";"1989";"1 year";-20
"Total";"1989";"2 years";-38
"Total";"1989";"3 years";-42
"Total";"1989";"4 years";-35
"Total";"1989";"5 years";-29
"Total";"1989";"6 years";-8
"Total";"1989";"7 years";-8
"Total";"1989";"8 years";-23
"Total";"1989";"9 years";-33
"Total";"1989";"10 years";-15
"Total";"1989";"11 years";-11
"Total";"1989";"12 years";-4
"Total";"1989";"13 years";-17
"Total";"1989";"14 years";-9
"Total";"1989";"15 years";-5
"Total";"1989";"16 years";-6
"Total";"1989";"17 years";-19
"Total";"1989";"18 years";0
"Total";"1989";"19 years";-7
"Total";"1989";"20 years";-53
"Total";"1989";"21 years";-73
"Total";"1989";"22 years";-58
"Total";"1989";"23 years";-74
"Total";"1989";"24 years";-80
"Total";"1989";"25 years";-60
"Total";"1989";"26 years";-27
"Total";"1989";"27 years";-7
"Total";"1989";"28 years";-20
"Total";"1989";"29 years";-44
"Total";"1989";"30 years";-56
"Total";"1989";"31 years";-19
"Total";"1989";"32 years";-38
"Total";"1989";"33 years";-16
"Total";"1989";"34 years";-21
"Total";"1989";"35 years";-13
"Total";"1989";"36 years";-22
"Total";"1989";"37 years";-9
"Total";"1989";"38 years";-10
"Total";"1989";"39 years";-13
"Total";"1989";"40 years";-8
"Total";"1989";"41 years";-14
"Total";"1989";"42 years";3
"Total";"1989";"43 years";-10
"Total";"1989";"44 years";-3
"Total";"1989";"45 years";-4
"Total";"1989";"46 years";-16
"Total";"1989";"47 years";4
"Total";"1989";"48 years";-7
"Total";"1989";"49 years";-8
"Total";"1989";"50 years";1
"Total";"1989";"51 years";4
"Total";"1989";"52 years";-3
"Total";"1989";"53 years";2
"Total";"1989";"54 years";6
"Total";"1989";"55 years";4
"Total";"1989";"56 years";3
"Total";"1989";"57 years";3
"Total";"1989";"58 years";4
"Total";"1989";"59 years";-1
"Total";"1989";"60 years";-4
