"Aldur","Svæði","Year.and.month","Value"
"16-19 ára","Höfuðborgarsvæðið","2000-02",63
"16-19 ára","Höfuðborgarsvæðið","2000-03",72
"16-19 ára","Höfuðborgarsvæðið","2000-04",64
"16-19 ára","Höfuðborgarsvæðið","2000-05",40
"16-19 ára","Höfuðborgarsvæðið","2000-06",43
"16-19 ára","Höfuðborgarsvæðið","2000-07",40
"16-19 ára","Höfuðborgarsvæðið","2000-08",27
"16-19 ára","Höfuðborgarsvæðið","2000-09",20
"16-19 ára","Höfuðborgarsvæðið","2000-10",28
"16-19 ára","Höfuðborgarsvæðið","2000-11",52
"16-19 ára","Höfuðborgarsvæðið","2000-12",44
"16-19 ára","Höfuðborgarsvæðið","2001-01",55
"16-19 ára","Höfuðborgarsvæðið","2001-02",51
"16-19 ára","Höfuðborgarsvæðið","2001-03",46
"16-19 ára","Höfuðborgarsvæðið","2001-04",54
"16-19 ára","Höfuðborgarsvæðið","2001-05",72
"16-19 ára","Höfuðborgarsvæðið","2001-06",68
"16-19 ára","Höfuðborgarsvæðið","2001-07",54
"16-19 ára","Höfuðborgarsvæðið","2001-08",32
"16-19 ára","Höfuðborgarsvæðið","2001-09",39
"16-19 ára","Höfuðborgarsvæðið","2001-10",63
"16-19 ára","Höfuðborgarsvæðið","2001-11",86
"16-19 ára","Höfuðborgarsvæðið","2001-12",86
"16-19 ára","Höfuðborgarsvæðið","2002-01",160
"16-19 ára","Höfuðborgarsvæðið","2002-02",182
"16-19 ára","Höfuðborgarsvæðið","2002-03",220
"16-19 ára","Höfuðborgarsvæðið","2002-04",192
"16-19 ára","Höfuðborgarsvæðið","2002-05",244
"16-19 ára","Höfuðborgarsvæðið","2002-06",214
"16-19 ára","Höfuðborgarsvæðið","2002-07",229
"16-19 ára","Höfuðborgarsvæðið","2002-08",153
"16-19 ára","Höfuðborgarsvæðið","2002-09",138
"16-19 ára","Höfuðborgarsvæðið","2002-10",162
"16-19 ára","Höfuðborgarsvæðið","2002-11",167
"16-19 ára","Höfuðborgarsvæðið","2002-12",169
"16-19 ára","Höfuðborgarsvæðið","2003-01",252
"16-19 ára","Höfuðborgarsvæðið","2003-02",285
"16-19 ára","Höfuðborgarsvæðið","2003-03",304
"16-19 ára","Höfuðborgarsvæðið","2003-04",270
"16-19 ára","Höfuðborgarsvæðið","2003-05",296
"16-19 ára","Höfuðborgarsvæðið","2003-06",280
"16-19 ára","Höfuðborgarsvæðið","2003-07",232
"16-19 ára","Höfuðborgarsvæðið","2003-08",158
"16-19 ára","Höfuðborgarsvæðið","2003-09",124
"16-19 ára","Höfuðborgarsvæðið","2003-10",137
"16-19 ára","Höfuðborgarsvæðið","2003-11",133
"16-19 ára","Höfuðborgarsvæðið","2003-12",136
"16-19 ára","Höfuðborgarsvæðið","2004-01",171
"16-19 ára","Höfuðborgarsvæðið","2004-02",194
"16-19 ára","Höfuðborgarsvæðið","2004-03",205
"16-19 ára","Höfuðborgarsvæðið","2004-04",184
"16-19 ára","Höfuðborgarsvæðið","2004-05",220
"16-19 ára","Höfuðborgarsvæðið","2004-06",187
"16-19 ára","Höfuðborgarsvæðið","2004-07",176
"16-19 ára","Höfuðborgarsvæðið","2004-08",124
"16-19 ára","Höfuðborgarsvæðið","2004-09",101
"16-19 ára","Höfuðborgarsvæðið","2004-10",109
"16-19 ára","Höfuðborgarsvæðið","2004-11",110
"16-19 ára","Höfuðborgarsvæðið","2004-12",110
"16-19 ára","Höfuðborgarsvæðið","2005-01",122
"16-19 ára","Höfuðborgarsvæðið","2005-02",127
"16-19 ára","Höfuðborgarsvæðið","2005-03",92
"16-19 ára","Höfuðborgarsvæðið","2005-04",82
"16-19 ára","Höfuðborgarsvæðið","2005-05",77
"16-19 ára","Höfuðborgarsvæðið","2005-06",68
"16-19 ára","Höfuðborgarsvæðið","2005-07",73
"16-19 ára","Höfuðborgarsvæðið","2005-08",42
"16-19 ára","Höfuðborgarsvæðið","2005-09",43
"16-19 ára","Höfuðborgarsvæðið","2005-10",39
"16-19 ára","Höfuðborgarsvæðið","2005-11",36
"16-19 ára","Höfuðborgarsvæðið","2005-12",35
"16-19 ára","Höfuðborgarsvæðið","2006-01",37
"16-19 ára","Höfuðborgarsvæðið","2006-02",41
"16-19 ára","Höfuðborgarsvæðið","2006-03",45
"16-19 ára","Höfuðborgarsvæðið","2006-04",39
"16-19 ára","Höfuðborgarsvæðið","2006-05",46
"16-19 ára","Höfuðborgarsvæðið","2006-06",48
"16-19 ára","Höfuðborgarsvæðið","2006-07",52
"16-19 ára","Höfuðborgarsvæðið","2006-08",20
"16-19 ára","Höfuðborgarsvæðið","2006-09",15
"16-19 ára","Höfuðborgarsvæðið","2006-10",22
"16-19 ára","Höfuðborgarsvæðið","2006-11",15
"16-19 ára","Höfuðborgarsvæðið","2006-12",28
"16-19 ára","Höfuðborgarsvæðið","2007-01",30
"16-19 ára","Höfuðborgarsvæðið","2007-02",30
"16-19 ára","Höfuðborgarsvæðið","2007-03",26
"16-19 ára","Höfuðborgarsvæðið","2007-04",23
"16-19 ára","Höfuðborgarsvæðið","2007-05",31
"16-19 ára","Höfuðborgarsvæðið","2007-06",24
"16-19 ára","Höfuðborgarsvæðið","2007-07",19
"16-19 ára","Höfuðborgarsvæðið","2007-08",19
"16-19 ára","Höfuðborgarsvæðið","2007-09",16
"16-19 ára","Höfuðborgarsvæðið","2007-10",10
"16-19 ára","Höfuðborgarsvæðið","2007-11",11
"16-19 ára","Höfuðborgarsvæðið","2007-12",17
"16-19 ára","Höfuðborgarsvæðið","2008-01",21
"16-19 ára","Höfuðborgarsvæðið","2008-02",26
"16-19 ára","Höfuðborgarsvæðið","2008-03",23
"16-19 ára","Höfuðborgarsvæðið","2008-04",26
"16-19 ára","Höfuðborgarsvæðið","2008-05",34
"16-19 ára","Höfuðborgarsvæðið","2008-06",31
"16-19 ára","Höfuðborgarsvæðið","2008-07",40
"16-19 ára","Höfuðborgarsvæðið","2008-08",30
"16-19 ára","Höfuðborgarsvæðið","2008-09",50
"16-19 ára","Höfuðborgarsvæðið","2008-10",119
"16-19 ára","Höfuðborgarsvæðið","2008-11",196
"16-19 ára","Höfuðborgarsvæðið","2008-12",258
"16-19 ára","Höfuðborgarsvæðið","2009-01",347
"16-19 ára","Höfuðborgarsvæðið","2009-02",387
"16-19 ára","Höfuðborgarsvæðið","2009-03",451
"16-19 ára","Höfuðborgarsvæðið","2009-04",436
"16-19 ára","Höfuðborgarsvæðið","2009-05",482
"16-19 ára","Höfuðborgarsvæðið","2009-06",513
"16-19 ára","Höfuðborgarsvæðið","2009-07",507
"16-19 ára","Höfuðborgarsvæðið","2009-08",336
"16-19 ára","Höfuðborgarsvæðið","2009-09",300
"16-19 ára","Höfuðborgarsvæðið","2009-10",289
"16-19 ára","Höfuðborgarsvæðið","2009-11",286
"16-19 ára","Höfuðborgarsvæðið","2009-12",243
"16-19 ára","Höfuðborgarsvæðið","2010-01",294
"16-19 ára","Höfuðborgarsvæðið","2010-02",313
"16-19 ára","Höfuðborgarsvæðið","2010-03",337
"16-19 ára","Höfuðborgarsvæðið","2010-04",306
"16-19 ára","Höfuðborgarsvæðið","2010-05",277
"16-19 ára","Höfuðborgarsvæðið","2010-06",272
"16-19 ára","Höfuðborgarsvæðið","2010-07",253
"16-19 ára","Höfuðborgarsvæðið","2010-08",204
"16-19 ára","Höfuðborgarsvæðið","2010-09",189
"16-19 ára","Höfuðborgarsvæðið","2010-10",206
"16-19 ára","Höfuðborgarsvæðið","2010-11",215
"16-19 ára","Höfuðborgarsvæðið","2010-12",187
"16-19 ára","Höfuðborgarsvæðið","2011-01",195
"16-19 ára","Höfuðborgarsvæðið","2011-02",213
"16-19 ára","Höfuðborgarsvæðið","2011-03",216
"16-19 ára","Höfuðborgarsvæðið","2011-04",196
"16-19 ára","Höfuðborgarsvæðið","2011-05",184
"16-19 ára","Höfuðborgarsvæðið","2011-06",160
"16-19 ára","Höfuðborgarsvæðið","2011-07",144
"16-19 ára","Höfuðborgarsvæðið","2011-08",122
"16-19 ára","Höfuðborgarsvæðið","2011-09",124
"16-19 ára","Höfuðborgarsvæðið","2011-10",128
"16-19 ára","Höfuðborgarsvæðið","2011-11",139
"16-19 ára","Höfuðborgarsvæðið","2011-12",125
"16-19 ára","Höfuðborgarsvæðið","2012-01",131
"16-19 ára","Höfuðborgarsvæðið","2012-02",155
"16-19 ára","Höfuðborgarsvæðið","2012-03",158
"16-19 ára","Höfuðborgarsvæðið","2012-04",148
"16-19 ára","Höfuðborgarsvæðið","2012-05",125
"16-19 ára","Höfuðborgarsvæðið","2012-06",112
"16-19 ára","Höfuðborgarsvæðið","2012-07",107
"20-24 ára","Höfuðborgarsvæðið","2000-02",196
"20-24 ára","Höfuðborgarsvæðið","2000-03",192
"20-24 ára","Höfuðborgarsvæðið","2000-04",176
"20-24 ára","Höfuðborgarsvæðið","2000-05",186
"20-24 ára","Höfuðborgarsvæðið","2000-06",160
"20-24 ára","Höfuðborgarsvæðið","2000-07",151
"20-24 ára","Höfuðborgarsvæðið","2000-08",120
"20-24 ára","Höfuðborgarsvæðið","2000-09",98
"20-24 ára","Höfuðborgarsvæðið","2000-10",101
"20-24 ára","Höfuðborgarsvæðið","2000-11",130
"20-24 ára","Höfuðborgarsvæðið","2000-12",132
"20-24 ára","Höfuðborgarsvæðið","2001-01",170
"20-24 ára","Höfuðborgarsvæðið","2001-02",156
"20-24 ára","Höfuðborgarsvæðið","2001-03",136
"20-24 ára","Höfuðborgarsvæðið","2001-04",167
"20-24 ára","Höfuðborgarsvæðið","2001-05",182
"20-24 ára","Höfuðborgarsvæðið","2001-06",193
"20-24 ára","Höfuðborgarsvæðið","2001-07",191
"20-24 ára","Höfuðborgarsvæðið","2001-08",161
"20-24 ára","Höfuðborgarsvæðið","2001-09",157
"20-24 ára","Höfuðborgarsvæðið","2001-10",199
"20-24 ára","Höfuðborgarsvæðið","2001-11",249
"20-24 ára","Höfuðborgarsvæðið","2001-12",252
"20-24 ára","Höfuðborgarsvæðið","2002-01",394
"20-24 ára","Höfuðborgarsvæðið","2002-02",466
"20-24 ára","Höfuðborgarsvæðið","2002-03",484
"20-24 ára","Höfuðborgarsvæðið","2002-04",514
"20-24 ára","Höfuðborgarsvæðið","2002-05",543
"20-24 ára","Höfuðborgarsvæðið","2002-06",543
"20-24 ára","Höfuðborgarsvæðið","2002-07",517
"20-24 ára","Höfuðborgarsvæðið","2002-08",409
"20-24 ára","Höfuðborgarsvæðið","2002-09",390
"20-24 ára","Höfuðborgarsvæðið","2002-10",433
"20-24 ára","Höfuðborgarsvæðið","2002-11",481
"20-24 ára","Höfuðborgarsvæðið","2002-12",520
"20-24 ára","Höfuðborgarsvæðið","2003-01",684
"20-24 ára","Höfuðborgarsvæðið","2003-02",779
"20-24 ára","Höfuðborgarsvæðið","2003-03",755
"20-24 ára","Höfuðborgarsvæðið","2003-04",729
"20-24 ára","Höfuðborgarsvæðið","2003-05",798
"20-24 ára","Höfuðborgarsvæðið","2003-06",736
"20-24 ára","Höfuðborgarsvæðið","2003-07",688
"20-24 ára","Höfuðborgarsvæðið","2003-08",561
"20-24 ára","Höfuðborgarsvæðið","2003-09",465
"20-24 ára","Höfuðborgarsvæðið","2003-10",503
"20-24 ára","Höfuðborgarsvæðið","2003-11",562
"20-24 ára","Höfuðborgarsvæðið","2003-12",562
"20-24 ára","Höfuðborgarsvæðið","2004-01",627
"20-24 ára","Höfuðborgarsvæðið","2004-02",641
"20-24 ára","Höfuðborgarsvæðið","2004-03",612
"20-24 ára","Höfuðborgarsvæðið","2004-04",611
"20-24 ára","Höfuðborgarsvæðið","2004-05",731
"20-24 ára","Höfuðborgarsvæðið","2004-06",752
"20-24 ára","Höfuðborgarsvæðið","2004-07",681
"20-24 ára","Höfuðborgarsvæðið","2004-08",575
"20-24 ára","Höfuðborgarsvæðið","2004-09",474
"20-24 ára","Höfuðborgarsvæðið","2004-10",475
"20-24 ára","Höfuðborgarsvæðið","2004-11",467
"20-24 ára","Höfuðborgarsvæðið","2004-12",467
"20-24 ára","Höfuðborgarsvæðið","2005-01",514
"20-24 ára","Höfuðborgarsvæðið","2005-02",491
"20-24 ára","Höfuðborgarsvæðið","2005-03",422
"20-24 ára","Höfuðborgarsvæðið","2005-04",392
"20-24 ára","Höfuðborgarsvæðið","2005-05",427
"20-24 ára","Höfuðborgarsvæðið","2005-06",390
"20-24 ára","Höfuðborgarsvæðið","2005-07",392
"20-24 ára","Höfuðborgarsvæðið","2005-08",260
"20-24 ára","Höfuðborgarsvæðið","2005-09",192
"20-24 ára","Höfuðborgarsvæðið","2005-10",177
"20-24 ára","Höfuðborgarsvæðið","2005-11",173
"20-24 ára","Höfuðborgarsvæðið","2005-12",179
"20-24 ára","Höfuðborgarsvæðið","2006-01",192
"20-24 ára","Höfuðborgarsvæðið","2006-02",202
"20-24 ára","Höfuðborgarsvæðið","2006-03",174
"20-24 ára","Höfuðborgarsvæðið","2006-04",192
"20-24 ára","Höfuðborgarsvæðið","2006-05",199
"20-24 ára","Höfuðborgarsvæðið","2006-06",214
"20-24 ára","Höfuðborgarsvæðið","2006-07",215
"20-24 ára","Höfuðborgarsvæðið","2006-08",135
"20-24 ára","Höfuðborgarsvæðið","2006-09",109
"20-24 ára","Höfuðborgarsvæðið","2006-10",103
"20-24 ára","Höfuðborgarsvæðið","2006-11",92
"20-24 ára","Höfuðborgarsvæðið","2006-12",104
"20-24 ára","Höfuðborgarsvæðið","2007-01",116
"20-24 ára","Höfuðborgarsvæðið","2007-02",109
"20-24 ára","Höfuðborgarsvæðið","2007-03",111
"20-24 ára","Höfuðborgarsvæðið","2007-04",94
"20-24 ára","Höfuðborgarsvæðið","2007-05",119
"20-24 ára","Höfuðborgarsvæðið","2007-06",105
"20-24 ára","Höfuðborgarsvæðið","2007-07",98
"20-24 ára","Höfuðborgarsvæðið","2007-08",81
"20-24 ára","Höfuðborgarsvæðið","2007-09",73
"20-24 ára","Höfuðborgarsvæðið","2007-10",59
"20-24 ára","Höfuðborgarsvæðið","2007-11",60
"20-24 ára","Höfuðborgarsvæðið","2007-12",54
"20-24 ára","Höfuðborgarsvæðið","2008-01",95
"20-24 ára","Höfuðborgarsvæðið","2008-02",93
"20-24 ára","Höfuðborgarsvæðið","2008-03",134
"20-24 ára","Höfuðborgarsvæðið","2008-04",128
"20-24 ára","Höfuðborgarsvæðið","2008-05",141
"20-24 ára","Höfuðborgarsvæðið","2008-06",178
"20-24 ára","Höfuðborgarsvæðið","2008-07",184
"20-24 ára","Höfuðborgarsvæðið","2008-08",180
"20-24 ára","Höfuðborgarsvæðið","2008-09",193
"20-24 ára","Höfuðborgarsvæðið","2008-10",339
"20-24 ára","Höfuðborgarsvæðið","2008-11",590
"20-24 ára","Höfuðborgarsvæðið","2008-12",868
"20-24 ára","Höfuðborgarsvæðið","2009-01",1221
"20-24 ára","Höfuðborgarsvæðið","2009-02",1436
"20-24 ára","Höfuðborgarsvæðið","2009-03",1572
"20-24 ára","Höfuðborgarsvæðið","2009-04",1596
"20-24 ára","Höfuðborgarsvæðið","2009-05",1684
"20-24 ára","Höfuðborgarsvæðið","2009-06",1714
"20-24 ára","Höfuðborgarsvæðið","2009-07",1719
"20-24 ára","Höfuðborgarsvæðið","2009-08",1481
"20-24 ára","Höfuðborgarsvæðið","2009-09",1289
"20-24 ára","Höfuðborgarsvæðið","2009-10",1293
"20-24 ára","Höfuðborgarsvæðið","2009-11",1319
"20-24 ára","Höfuðborgarsvæðið","2009-12",1343
"20-24 ára","Höfuðborgarsvæðið","2010-01",1470
"20-24 ára","Höfuðborgarsvæðið","2010-02",1471
"20-24 ára","Höfuðborgarsvæðið","2010-03",1489
"20-24 ára","Höfuðborgarsvæðið","2010-04",1491
"20-24 ára","Höfuðborgarsvæðið","2010-05",1438
"20-24 ára","Höfuðborgarsvæðið","2010-06",1365
"20-24 ára","Höfuðborgarsvæðið","2010-07",1293
"20-24 ára","Höfuðborgarsvæðið","2010-08",1127
"20-24 ára","Höfuðborgarsvæðið","2010-09",1094
"20-24 ára","Höfuðborgarsvæðið","2010-10",1169
"20-24 ára","Höfuðborgarsvæðið","2010-11",1198
"20-24 ára","Höfuðborgarsvæðið","2010-12",1216
"20-24 ára","Höfuðborgarsvæðið","2011-01",1389
"20-24 ára","Höfuðborgarsvæðið","2011-02",1426
"20-24 ára","Höfuðborgarsvæðið","2011-03",1448
"20-24 ára","Höfuðborgarsvæðið","2011-04",1354
"20-24 ára","Höfuðborgarsvæðið","2011-05",1301
"20-24 ára","Höfuðborgarsvæðið","2011-06",1216
"20-24 ára","Höfuðborgarsvæðið","2011-07",1162
"20-24 ára","Höfuðborgarsvæðið","2011-08",1113
"20-24 ára","Höfuðborgarsvæðið","2011-09",1037
"20-24 ára","Höfuðborgarsvæðið","2011-10",1054
"20-24 ára","Höfuðborgarsvæðið","2011-11",1097
"20-24 ára","Höfuðborgarsvæðið","2011-12",1114
"20-24 ára","Höfuðborgarsvæðið","2012-01",1035
"20-24 ára","Höfuðborgarsvæðið","2012-02",1071
"20-24 ára","Höfuðborgarsvæðið","2012-03",1026
"20-24 ára","Höfuðborgarsvæðið","2012-04",958
"20-24 ára","Höfuðborgarsvæðið","2012-05",882
"20-24 ára","Höfuðborgarsvæðið","2012-06",766
"20-24 ára","Höfuðborgarsvæðið","2012-07",764
"25-29 ára","Höfuðborgarsvæðið","2000-02",239
"25-29 ára","Höfuðborgarsvæðið","2000-03",235
"25-29 ára","Höfuðborgarsvæðið","2000-04",234
"25-29 ára","Höfuðborgarsvæðið","2000-05",226
"25-29 ára","Höfuðborgarsvæðið","2000-06",212
"25-29 ára","Höfuðborgarsvæðið","2000-07",197
"25-29 ára","Höfuðborgarsvæðið","2000-08",172
"25-29 ára","Höfuðborgarsvæðið","2000-09",137
"25-29 ára","Höfuðborgarsvæðið","2000-10",137
"25-29 ára","Höfuðborgarsvæðið","2000-11",137
"25-29 ára","Höfuðborgarsvæðið","2000-12",149
"25-29 ára","Höfuðborgarsvæðið","2001-01",182
"25-29 ára","Höfuðborgarsvæðið","2001-02",191
"25-29 ára","Höfuðborgarsvæðið","2001-03",165
"25-29 ára","Höfuðborgarsvæðið","2001-04",176
"25-29 ára","Höfuðborgarsvæðið","2001-05",188
"25-29 ára","Höfuðborgarsvæðið","2001-06",217
"25-29 ára","Höfuðborgarsvæðið","2001-07",210
"25-29 ára","Höfuðborgarsvæðið","2001-08",191
"25-29 ára","Höfuðborgarsvæðið","2001-09",198
"25-29 ára","Höfuðborgarsvæðið","2001-10",205
"25-29 ára","Höfuðborgarsvæðið","2001-11",269
"25-29 ára","Höfuðborgarsvæðið","2001-12",273
"25-29 ára","Höfuðborgarsvæðið","2002-01",365
"25-29 ára","Höfuðborgarsvæðið","2002-02",423
"25-29 ára","Höfuðborgarsvæðið","2002-03",440
"25-29 ára","Höfuðborgarsvæðið","2002-04",434
"25-29 ára","Höfuðborgarsvæðið","2002-05",461
"25-29 ára","Höfuðborgarsvæðið","2002-06",473
"25-29 ára","Höfuðborgarsvæðið","2002-07",487
"25-29 ára","Höfuðborgarsvæðið","2002-08",429
"25-29 ára","Höfuðborgarsvæðið","2002-09",397
"25-29 ára","Höfuðborgarsvæðið","2002-10",446
"25-29 ára","Höfuðborgarsvæðið","2002-11",499
"25-29 ára","Höfuðborgarsvæðið","2002-12",504
"25-29 ára","Höfuðborgarsvæðið","2003-01",622
"25-29 ára","Höfuðborgarsvæðið","2003-02",663
"25-29 ára","Höfuðborgarsvæðið","2003-03",649
"25-29 ára","Höfuðborgarsvæðið","2003-04",627
"25-29 ára","Höfuðborgarsvæðið","2003-05",692
"25-29 ára","Höfuðborgarsvæðið","2003-06",642
"25-29 ára","Höfuðborgarsvæðið","2003-07",616
"25-29 ára","Höfuðborgarsvæðið","2003-08",541
"25-29 ára","Höfuðborgarsvæðið","2003-09",483
"25-29 ára","Höfuðborgarsvæðið","2003-10",487
"25-29 ára","Höfuðborgarsvæðið","2003-11",518
"25-29 ára","Höfuðborgarsvæðið","2003-12",518
"25-29 ára","Höfuðborgarsvæðið","2004-01",549
"25-29 ára","Höfuðborgarsvæðið","2004-02",566
"25-29 ára","Höfuðborgarsvæðið","2004-03",575
"25-29 ára","Höfuðborgarsvæðið","2004-04",546
"25-29 ára","Höfuðborgarsvæðið","2004-05",650
"25-29 ára","Höfuðborgarsvæðið","2004-06",659
"25-29 ára","Höfuðborgarsvæðið","2004-07",657
"25-29 ára","Höfuðborgarsvæðið","2004-08",605
"25-29 ára","Höfuðborgarsvæðið","2004-09",513
"25-29 ára","Höfuðborgarsvæðið","2004-10",459
"25-29 ára","Höfuðborgarsvæðið","2004-11",463
"25-29 ára","Höfuðborgarsvæðið","2004-12",470
"25-29 ára","Höfuðborgarsvæðið","2005-01",505
"25-29 ára","Höfuðborgarsvæðið","2005-02",492
"25-29 ára","Höfuðborgarsvæðið","2005-03",439
"25-29 ára","Höfuðborgarsvæðið","2005-04",401
"25-29 ára","Höfuðborgarsvæðið","2005-05",443
"25-29 ára","Höfuðborgarsvæðið","2005-06",454
"25-29 ára","Höfuðborgarsvæðið","2005-07",440
"25-29 ára","Höfuðborgarsvæðið","2005-08",305
"25-29 ára","Höfuðborgarsvæðið","2005-09",243
"25-29 ára","Höfuðborgarsvæðið","2005-10",215
"25-29 ára","Höfuðborgarsvæðið","2005-11",201
"25-29 ára","Höfuðborgarsvæðið","2005-12",201
"25-29 ára","Höfuðborgarsvæðið","2006-01",211
"25-29 ára","Höfuðborgarsvæðið","2006-02",206
"25-29 ára","Höfuðborgarsvæðið","2006-03",181
"25-29 ára","Höfuðborgarsvæðið","2006-04",190
"25-29 ára","Höfuðborgarsvæðið","2006-05",246
"25-29 ára","Höfuðborgarsvæðið","2006-06",283
"25-29 ára","Höfuðborgarsvæðið","2006-07",275
"25-29 ára","Höfuðborgarsvæðið","2006-08",183
"25-29 ára","Höfuðborgarsvæðið","2006-09",146
"25-29 ára","Höfuðborgarsvæðið","2006-10",146
"25-29 ára","Höfuðborgarsvæðið","2006-11",147
"25-29 ára","Höfuðborgarsvæðið","2006-12",165
"25-29 ára","Höfuðborgarsvæðið","2007-01",156
"25-29 ára","Höfuðborgarsvæðið","2007-02",182
"25-29 ára","Höfuðborgarsvæðið","2007-03",163
"25-29 ára","Höfuðborgarsvæðið","2007-04",144
"25-29 ára","Höfuðborgarsvæðið","2007-05",177
"25-29 ára","Höfuðborgarsvæðið","2007-06",174
"25-29 ára","Höfuðborgarsvæðið","2007-07",160
"25-29 ára","Höfuðborgarsvæðið","2007-08",135
"25-29 ára","Höfuðborgarsvæðið","2007-09",106
"25-29 ára","Höfuðborgarsvæðið","2007-10",110
"25-29 ára","Höfuðborgarsvæðið","2007-11",85
"25-29 ára","Höfuðborgarsvæðið","2007-12",95
"25-29 ára","Höfuðborgarsvæðið","2008-01",101
"25-29 ára","Höfuðborgarsvæðið","2008-02",110
"25-29 ára","Höfuðborgarsvæðið","2008-03",143
"25-29 ára","Höfuðborgarsvæðið","2008-04",127
"25-29 ára","Höfuðborgarsvæðið","2008-05",169
"25-29 ára","Höfuðborgarsvæðið","2008-06",193
"25-29 ára","Höfuðborgarsvæðið","2008-07",206
"25-29 ára","Höfuðborgarsvæðið","2008-08",227
"25-29 ára","Höfuðborgarsvæðið","2008-09",243
"25-29 ára","Höfuðborgarsvæðið","2008-10",389
"25-29 ára","Höfuðborgarsvæðið","2008-11",676
"25-29 ára","Höfuðborgarsvæðið","2008-12",1001
"25-29 ára","Höfuðborgarsvæðið","2009-01",1323
"25-29 ára","Höfuðborgarsvæðið","2009-02",1679
"25-29 ára","Höfuðborgarsvæðið","2009-03",1911
"25-29 ára","Höfuðborgarsvæðið","2009-04",1928
"25-29 ára","Höfuðborgarsvæðið","2009-05",1931
"25-29 ára","Höfuðborgarsvæðið","2009-06",2003
"25-29 ára","Höfuðborgarsvæðið","2009-07",1982
"25-29 ára","Höfuðborgarsvæðið","2009-08",1870
"25-29 ára","Höfuðborgarsvæðið","2009-09",1619
"25-29 ára","Höfuðborgarsvæðið","2009-10",1667
"25-29 ára","Höfuðborgarsvæðið","2009-11",1709
"25-29 ára","Höfuðborgarsvæðið","2009-12",1692
"25-29 ára","Höfuðborgarsvæðið","2010-01",1797
"25-29 ára","Höfuðborgarsvæðið","2010-02",1845
"25-29 ára","Höfuðborgarsvæðið","2010-03",1856
"25-29 ára","Höfuðborgarsvæðið","2010-04",1833
"25-29 ára","Höfuðborgarsvæðið","2010-05",1759
"25-29 ára","Höfuðborgarsvæðið","2010-06",1687
"25-29 ára","Höfuðborgarsvæðið","2010-07",1678
"25-29 ára","Höfuðborgarsvæðið","2010-08",1522
"25-29 ára","Höfuðborgarsvæðið","2010-09",1462
"25-29 ára","Höfuðborgarsvæðið","2010-10",1513
"25-29 ára","Höfuðborgarsvæðið","2010-11",1481
"25-29 ára","Höfuðborgarsvæðið","2010-12",1498
"25-29 ára","Höfuðborgarsvæðið","2011-01",1605
"25-29 ára","Höfuðborgarsvæðið","2011-02",1636
"25-29 ára","Höfuðborgarsvæðið","2011-03",1642
"25-29 ára","Höfuðborgarsvæðið","2011-04",1573
"25-29 ára","Höfuðborgarsvæðið","2011-05",1570
"25-29 ára","Höfuðborgarsvæðið","2011-06",1493
"25-29 ára","Höfuðborgarsvæðið","2011-07",1498
"25-29 ára","Höfuðborgarsvæðið","2011-08",1452
"25-29 ára","Höfuðborgarsvæðið","2011-09",1402
"25-29 ára","Höfuðborgarsvæðið","2011-10",1420
"25-29 ára","Höfuðborgarsvæðið","2011-11",1463
"25-29 ára","Höfuðborgarsvæðið","2011-12",1430
"25-29 ára","Höfuðborgarsvæðið","2012-01",1299
"25-29 ára","Höfuðborgarsvæðið","2012-02",1319
"25-29 ára","Höfuðborgarsvæðið","2012-03",1320
"25-29 ára","Höfuðborgarsvæðið","2012-04",1256
"25-29 ára","Höfuðborgarsvæðið","2012-05",1156
"25-29 ára","Höfuðborgarsvæðið","2012-06",1074
"25-29 ára","Höfuðborgarsvæðið","2012-07",1071
"30-34 ára","Höfuðborgarsvæðið","2000-02",230
"30-34 ára","Höfuðborgarsvæðið","2000-03",221
"30-34 ára","Höfuðborgarsvæðið","2000-04",204
"30-34 ára","Höfuðborgarsvæðið","2000-05",187
"30-34 ára","Höfuðborgarsvæðið","2000-06",184
"30-34 ára","Höfuðborgarsvæðið","2000-07",172
"30-34 ára","Höfuðborgarsvæðið","2000-08",156
"30-34 ára","Höfuðborgarsvæðið","2000-09",129
"30-34 ára","Höfuðborgarsvæðið","2000-10",120
"30-34 ára","Höfuðborgarsvæðið","2000-11",116
"30-34 ára","Höfuðborgarsvæðið","2000-12",118
"30-34 ára","Höfuðborgarsvæðið","2001-01",121
"30-34 ára","Höfuðborgarsvæðið","2001-02",126
"30-34 ára","Höfuðborgarsvæðið","2001-03",119
"30-34 ára","Höfuðborgarsvæðið","2001-04",134
"30-34 ára","Höfuðborgarsvæðið","2001-05",161
"30-34 ára","Höfuðborgarsvæðið","2001-06",156
"30-34 ára","Höfuðborgarsvæðið","2001-07",171
"30-34 ára","Höfuðborgarsvæðið","2001-08",155
"30-34 ára","Höfuðborgarsvæðið","2001-09",149
"30-34 ára","Höfuðborgarsvæðið","2001-10",172
"30-34 ára","Höfuðborgarsvæðið","2001-11",204
"30-34 ára","Höfuðborgarsvæðið","2001-12",207
"30-34 ára","Höfuðborgarsvæðið","2002-01",292
"30-34 ára","Höfuðborgarsvæðið","2002-02",299
"30-34 ára","Höfuðborgarsvæðið","2002-03",327
"30-34 ára","Höfuðborgarsvæðið","2002-04",337
"30-34 ára","Höfuðborgarsvæðið","2002-05",363
"30-34 ára","Höfuðborgarsvæðið","2002-06",374
