"Hjónavígslur eftir aldri brúðhjóna 1971-2011"

"Kyn";"Ár";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59"
"Brúðir";"1998";216;503;356;224;92;46;33;21
"Brúðir";"1999";226;501;330;223;112;68;37;20
"Brúðir";"2000";259;590;361;244;136;79;37;23
"Brúðir";"2001";240;505;291;175;112;65;35;13
"Brúðir";"2002";238;500;370;223;136;70;36;28
"Brúðir";"2003";217;477;346;226;114;60;33;22
"Brúðir";"2004";193;427;350;202;131;98;53;25
"Brúðir";"2005";195;522;368;220;142;81;57;36
